,abbreviation,alt_color,alt_name1,alt_name2,alt_name3,color,conference,division,id,logos,mascot,school
385,MNDU,,,MNDU,Minnesota-Duluth,#000000,,,134,"['http://a.espncdn.com/i/teamlogos/ncaa/500/134.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/134.png']",Bulldogs,Minnesota-Duluth
386,MIN,,,MIN,Minnesota-Morris,#000000,,,2399,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2399.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2399.png']",Cougars,Minnesota-Morris
387,MNST,,,MNST,Minnesota St,#000000,,,2364,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2364.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2364.png']",Mavericks,Minnesota State
388,MOO,,,MOO,Minn St-Moorhead,#000000,,,2817,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2817.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2817.png']",Dragon,Minnesota St-Moorhead
389,MIN,,,MIN,Minot St,#000000,,,568,"['http://a.espncdn.com/i/teamlogos/ncaa/500/568.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/568.png']",Beavers,Minot State
390,MISC,,,MISC,Misericordia,#000000,,,2969,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2969.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2969.png']",Cougars,Misericordia
391,MIS,,,MIS,Miss. College,#000000,,,2401,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2401.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2401.png']",Choctaws,Mississippi College
392,MSST,#c8c8c8,,MSST,Miss St,#762123,SEC,West,344,"['http://a.espncdn.com/i/teamlogos/ncaa/500/344.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/344.png']",Bulldogs,Mississippi State
393,MVSU,#cf2d34,,MVSU,Miss Valley St,#005328,,,2400,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2400.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2400.png']",Delta Devils,Mississippi Valley State
394,MIZ,#000000,,MIZ,Missouri,#000000,SEC,East,142,"['http://a.espncdn.com/i/teamlogos/ncaa/500/142.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/142.png']",Tigers,Missouri
395,MB,,,MB,MO Baptist,,,,2880,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2880.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2880.png']",Spartans,Missouri Baptist
396,MOS,,,MOS,Missouri South St,#000000,,,2403,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2403.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2403.png']",Lions,Missouri Southern State
397,S&T,,,S&T,Missouri S&T,#000000,,,2402,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2402.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2402.png']",Miners,Missouri S&T
398,MOST,#e8e8e8,,MOST,Missouri State,#5F0000,,,2623,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2623.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2623.png']",Bears,Missouri State
399,MOW,,,MOW,Missouri West,#000000,,,137,"['http://a.espncdn.com/i/teamlogos/ncaa/500/137.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/137.png']",Griffons,Missouri Western
400,MONM,,,MONM,Monmouth,#051844,,,2405,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2405.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2405.png']",Hawks,Monmouth
