alt_color,color,id,logos,school,Latitude,Longitude
#949ca1,#003263,328,"['http://a.espncdn.com/i/teamlogos/ncaa/500/328.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/328.png']",Utah State,41.7517394,-111.8116007
#ff6f12,#002843,2638,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2638.png']",UTEP,31.7733353,-106.507957
#f47321,#002A5C,2636,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2636.png']",UT San Antonio,29.4169834,-98.4788143
#231f20,#000000,238,"['http://a.espncdn.com/i/teamlogos/ncaa/500/238.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/238.png']",Vanderbilt,36.1440455,-86.8088942
#002d62,#00204e,258,"['http://a.espncdn.com/i/teamlogos/ncaa/500/258.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/258.png']",Virginia,38.0311801,-78.5137897
#c2c1ba,#74232D,259,"['http://a.espncdn.com/i/teamlogos/ncaa/500/259.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/259.png']",Virginia Tech,37.2199873,-80.4180643
#000000,#9E7E38,154,"['http://a.espncdn.com/i/teamlogos/ncaa/500/154.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/154.png']",Wake Forest,36.1305507,-80.2545851
#e8e3d3,#2B2F64,264,"['http://a.espncdn.com/i/teamlogos/ncaa/500/264.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/264.png']",Washington,47.6503235,-122.3015746
#6a747c,#94022a,265,"['http://a.espncdn.com/i/teamlogos/ncaa/500/265.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/265.png']",Washington State,46.731831,-117.1604991
#b3b5b8,#F32026,98,"['http://a.espncdn.com/i/teamlogos/ncaa/500/98.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/98.png']",Western Kentucky,36.9847901,-86.4594041
#bfa979,#B59966,2711,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2711.png']",Western Michigan,42.2860064,-85.6007573
#eaaa00,#FFC600,277,"['http://a.espncdn.com/i/teamlogos/ncaa/500/277.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/277.png']",West Virginia,39.6502744,-79.9551873
#f7f7f7,#A00001,275,"['http://a.espncdn.com/i/teamlogos/ncaa/500/275.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/275.png']",Wisconsin,43.06994,-89.4126943
#ffffff,#533B22,2751,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2751.png']",Wyoming,41.31161,-105.5681384
